Nom;Code(s) UIC
Bertry;87345553
Besançon Franche-Comté TGV;87300863
Besançon Mouillère;87718015
Besançon Viotte;87718007
Beslé;87471219
Bessancourt;87276642
Bessay-sur-Allier;87696336
Bétaille;87594747
Béthune;87342006
Betton;87471045
Beuvrages;87343160
Beuvry lès Béthune;87342402
Beynes;87393363
Beynost;87723544
Béziers;87781005
Biache-Saint-Vaast;87342097
Biarritz;87673400
Bibliothèque François Mitterrand;87328328
Bidarray Pont Noblia;87673699
Bidos;87691949
Bièvres;87393546
Biffontaine;87144188
Biganos Facture;87582478
Bigny;87576306
Billy-Montigny;87345140
Biot;87757690
Bischheim;87212308
Bischoffsheim;87214296
Bischwiller;87213611
Bitschwiller-lès-Thann;87182576
Blainville - Damelevières;87141135
Blaisy-Bas;87713073
Blangy-sur-Bresle;87313809
Blangy-sur-Ternoise;87317248
Blanquefort;87581728
Blanzy;87694612
Bléré - La Croix;87574475
Blois - Chambord;87574004
Blonville-sur-Mer - Benerville;87444380
Boën-sur-Lignon;87726471
Bogny-sur-Meuse;87172049
Bohain-en-Vermandois;87296269
Boigneville;87684407
Bois-Colombes;87381079
Bois-d'Oingt - Légny;87721787
Bois-le-Roi;87682203
Boisleux-au-Mont;87342071
Boisseaux;87543082
Boisset;87645184
Boissise-le-Roi;87682518
Boissy-l'Aillerie;87381152
Bollène La Croisière;87764357
Bollwiller;87182709
Bologne;87142224
Bolquère - Eyne;87784801
Bondy;87113407
Bonnemain;87478065
Bonneval;87545731
Bonneville;87746339
Bonnières-sur-Seine;87415893
Bons-en-Chablais;87745596
Bonson;87726414
Boran-sur-Oise;87276444
Bordeaux Saint-Jean;87581009
Bords;87491019
Bornel - Belle-Église;87276717
Bouaye;87481200
Boucau;87673095
Bouchain;87345389
Boucoiran-et-Nozières;87775346
Bouffémont - Moisselles;87276485
Bougival;87382440
Boulainvilliers;87543181
Boulazac;87725473
Boulogne Tintelleries;87317016
Boulogne-sur-Mer;87317586
Boulouris sur Mer;87757534
Bouray;87545178
Bourbourg;87281279
Bourg-Bruche;87214775
Bourg-en-Bresse;87743005
Bourg-Madame;87784876
Bourg-Saint-Maurice;87741793
Bourges;87576207
Bourgneuf-en-Retz;87481242
Bourgoin-Jallieu;87723429
Bourgtheroulde - Thuit-Hébert;87415323
Bournezeau;87486324
Bourron-Marlotte - Grez;87684118
Boussay - La Bruffière;87481176
Boussens;87611095
Boussy-Saint-Antoine;87682138
Bouthéon;87726216
Boutigny-sur-Essonne;87681478
Bouzonville;87193177
Boves;87313213
Bram;87615054
Brandérion;87476242
Brassac-les-Mines - Sainte-Florine;87734244
Brax - Léguevin;87611822
Brazey-en-Plaine;87713644
Bréauté - Beuzeville;87413344
Brebières;87345108
Breil-sur-Roya;87756833
Breitenbach;87182659
Brélidy - Plouëc;87473827
Bressuire;87487249
Brest;87474007
Breteil;87471102
Bretenoux - Biars;87594762
Breteuil;87313247
Bretigny - Norges;87712265
Brétigny-sur-Orge;87545194
Bretoncelles;87394270
Bretteville - Norrey;87444042
Breuil - Romain;87171322
Breuillet - Bruyères-le-Châtel;87545483
Breuillet Village;87545491
Bréval;87381624
Briançon;87763607
Briare;87696088
Brignac;87592063
Brignais;87722728
Brignoud;87747451
Brimeux;87317180
Brion - Laizy;87694596
Brion - Montréal-la-Cluse;87131961
Brionne;87415364
Brioude;87734269
Briouze;87448084
Brive-la-Gaillarde;87594002
Broons;87473074
Brou;87394452
Broye;87694166
Bruges;87581736
Brumath;87212134
Brunémont;87345439
Brunoy;87682120
Bruyères;87144154
Bruyères-sur-Oise;87276451
Bruz;87471037
Bueil;87387092
Bugeat;87592162
Buire-sur-l'Ancre;87316067
Bully - Grenay;87342105
Buno - Gironville;87681510
Busigny;87296244
Bussac-Forêt;87491191
Busseau sur Creuse;87597708
Bussière-Galant;87592741
Buzy en Béarn;87672634
Byans-sur-Doubs;87718122
Cadaujac;87582684
Caen;87444000
Caffiers;87317321
Cagnes-sur-Mer;87756320
Cahors;87613000
Calais;87317263
Calais - Fréthun;87281071
Callac;87473546
Calonne-Ricouart;87342543
Cambo-les-Bains;87673657
Cambrai;87345520
Campagnac - Saint-Geniez;87783340
Cannes;87757625
Cannes La Bocca;87757617
Cantin;87345413
Cap-d'Ail;87756395
Capdenac;87613109
Capvern;87671156
Carbonne;87611061
Carcassonne;87615286
Carentan;87447243
Carhaix-Plouguer;87473504
Carignan;87172353
Carmaux;87615625
Carnoët - Locarn;87473561
Carnoles;87756478
Carnoules;87755371
Carpentras;87765735
Carry-le-Rouet;87753566
Casino Lacroix Laval;87208553
Cassel;87281139
Cassis;87751776
Castelnau-d'Estrétefonds;87611665
Castelnaudary;87615039
Castelsarrasin;87611897
Castillon-la-Bataille;87584136
Castres;87615468
Cattenières;87345587
Caudéran Mérignac;87581538
Caudrot;87582841
Caudry;87345561
Caulnes;87473066
Caussade;87613356
Cavaillon;87765503
Cavignac;87491217
Cazères;87611079
Ceilhes - Roqueredonde;87781542
Ceintrey;87141572
Cenon;87581595
Cerbère;87785006
Cercottes;87543033
Cercy-la-Tour;87696492
Cergy le Haut;87382655
Cergy Préfecture;87381905
Cergy Saint-Christophe;87382499
Cerizay;87487280
Cernay (Haut-Rhin);87182410
Cernay (Val-d'Oise);87276063
Cérons;87582742
Cessieu;87723452
Cesson;87682161
Cesson-Sévigné;87334490
Ceyzériat;87743302
Chabenet;87597112
Châbons;87747212
Chabris;87576223
Chagny;87713578
Chaingy Fourneaux Plage;87574111
Chalais;87583690
Challans;87481390
Chalon-sur-Saône;87725002
Chalonnes-sur-Loire;87484204
Châlons-en-Champagne;87174003
Chamalières-sur-Loire;87734731
Chamarande;87545152
Chambéry - Challes-les-Eaux;87741009
Chambly;87276725
Chamborigaud;87775221
Chambourg-sur-Indre;87571463
Chamelet;87721829
Chamonix Aiguille du Midi;87462085
Chamonix-Mont-Blanc;87746784
Chamousset;87741231
Champ de Courses d'Enghien;87276030
Champ de Mars Tour Eiffel;87393058
Champagné;87396275
Champagne-Ardenne TGV;87171926
Champagne-sur-Oise;87276519
Champagne-sur-Seine;87682450
Champagney;87185348
Champagnole;87715326
Champagnole Paul-Émile Victor;87352047
Champbenoist - Poigny;87115873
Champigneulles;87141085
Champigny sur Yonne;87683128
Champlan;87725457
Champs - Saint-Bris;87683615
Champtocé-sur-Loire;87484352
Chanac;87783530
Changis - Saint-Jean;87116509
Chanteloup-les-Vignes;87381475
Chantenay;87481051
Chantenay-Saint-Imbert;87696302
Chantilly - Gouvieux;87276113
Chantonnay;87486332
Chapeauroux;87734343
Chaponost;87722710
Chaponval;87276162
Charbonnières-les-Bains;87721530
Charleville-Mézières;87172007
Charmes;87144055
Chars;87381194
Chartres;87394007
Chartrettes;87682419
Chasse-sur-Rhône;87722561
Chasseneuil-du-Poitou;87575225
Chasseneuil-sur-Bonnieure;87583443
Chasseradès;87775148
Château-Arnoux-Saint-Auban;87751230
